Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
64573376,04/07/2025 01:24:15 AM,,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,10453,115 HENWOOD PLACE,HENWOOD PLACE,WALTON AVENUE,MORRIS AVENUE,WALTON AVENUE,MORRIS AVENUE,ADDRESS,BRONX,HENWOOD PLACE,,In Progress,,,,05 BRONX,2028260034,BRONX,1009153,248064,MOBILE,Unspecified,BRONX,,,,,,,,40.84751832568139,-73.9099893374593,"(40.84751832568139, -73.9099893374593)"
64570634,04/07/2025 01:23:27 AM,,DSNY,Department of Sanitation,Dirty Condition,Trash,Traffic Island or Median,11205,193 PARK AVENUE,PARK AVENUE,ADELPHI STREET,CLERMONT AVENUE,ADELPHI STREET,CLERMONT AVENUE,ADDRESS,BROOKLYN,PARK AVENUE,,In Progress,,,,02 BROOKLYN,3020320050,BROOKLYN,992124,192915,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.69618038014969,-73.97160442324311,"(40.69618038014969, -73.97160442324311)"
64573274,04/07/2025 01:23:19 AM,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10033,615 WEST  183 STREET,WEST  183 STREET,ST NICHOLAS AVENUE,WADSWORTH AVENUE,ST NICHOLAS AVENUE,WADSWORTH AVENUE,ADDRESS,NEW YORK,WEST  183 STREET,,In Progress,,,,12 MANHATTAN,1021650053,MANHATTAN,1002686,249226,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.850723542254315,-73.93336078356981,"(40.850723542254315, -73.93336078356981)"
64571482,04/07/2025 01:22:47 AM,,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10451,2391 THIRD AVENUE,THIRD AVENUE,DEAD END,3 AVENUE BRIDGE BIKE PATH,DEAD END,3 AVENUE BRIDGE BIKE PATH,ADDRESS,BRONX,3 AVENUE,,In Progress,,,,01 BRONX,2023190200,BRONX,1003298,233743,MOBILE,Unspecified,BRONX,,,,,,,,40.808225854336065,-73.93119259483943,"(40.808225854336065, -73.93119259483943)"
64573260,04/07/2025 01:22:43 AM,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11208,12421 FLATLANDS AVENUE,FLATLANDS AVENUE,ASHFORD STREET,ELTON STREET,ASHFORD STREET,ELTON STREET,ADDRESS,BROOKLYN,FLATLANDS AVENUE,,In Progress,,,,05 BROOKLYN,3044237501,BROOKLYN,1018682,178744,PHONE,Unspecified,BROOKLYN,,,,,,,,40.657220742996046,-73.87590223349059,"(40.657220742996046, -73.87590223349059)"
64575369,04/07/2025 01:22:24 AM,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11203,738 ALBANY AVENUE,ALBANY AVENUE,WINTHROP STREET,CLARKSON AVENUE,WINTHROP STREET,CLARKSON AVENUE,ADDRESS,BROOKLYN,ALBANY AVENUE,,In Progress,,,,09 BROOKLYN,3048290003,BROOKLYN,1001012,178350,PHONE,Unspecified,BROOKLYN,,,,,,,,40.65619037888672,-73.93958834503375,"(40.65619037888672, -73.93958834503375)"
64571370,04/07/2025 01:21:52 AM,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11201,260 GOLD STREET,GOLD STREET,CONCORD STREET,TILLARY STREET,CONCORD STREET,TILLARY STREET,ADDRESS,BROOKLYN,GOLD STREET,,In Progress,,,,02 BROOKLYN,3001210003,BROOKLYN,988913,193086,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.69665200983776,-73.98318395865293,"(40.69665200983776, -73.98318395865293)"
64570763,04/07/2025 01:21:44 AM,04/07/2025 01:42:06 AM,NYPD,New York City Police Department,Traffic,Drag Racing,Street/Sidewalk,10473,2275 RANDALL AVENUE,RANDALL AVENUE,CASTLE HILL AVENUE,HAVEMEYER AVENUE,CASTLE HILL AVENUE,HAVEMEYER AVENUE,ADDRESS,BRONX,RANDALL AVENUE,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,04/07/2025 01:42:13 AM,09 BRONX,2035730001,BRONX,1026931,237817,ONLINE,Unspecified,BRONX,,,,,,,,40.819325269482185,-73.84579693941627,"(40.819325269482185, -73.84579693941627)"
64571388,04/07/2025 01:20:28 AM,,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,10473,501 ZEREGA AVENUE,ZEREGA AVENUE,LACOMBE AVENUE,RANDALL AVENUE,LACOMBE AVENUE,RANDALL AVENUE,ADDRESS,BRONX,ZEREGA AVENUE,,In Progress,,,04/07/2025 02:13:05 AM,09 BRONX,2035400001,BRONX,1027541,237248,PHONE,Unspecified,BRONX,Other,,,,,,,40.81776055861585,-73.84359673305558,"(40.81776055861585, -73.84359673305558)"
64574405,04/07/2025 01:19:39 AM,,DOT,Department of Transportation,Street Sign - Dangling,Other/Unknown,Street,11694,129 BEACH  118 STREET,BEACH  118 STREET,OCEAN PROMENADE,ROCKAWAY BEACH BOULEVARD,OCEAN PROMENADE,ROCKAWAY BEACH BOULEVARD,ADDRESS,FAR ROCKAWAY,BEACH  118 STREET,,In Progress,,,,14 QUEENS,4162280041,QUEENS,1029192,149892,MOBILE,Unspecified,QUEENS,,,,,,,,40.577981025370796,-73.83821484766423,"(40.577981025370796, -73.83821484766423)"
64574373,04/07/2025 01:18:59 AM,,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10453,1474 UNDERCLIFF AVENUE,UNDERCLIFF AVENUE,WEST  174 STREET,WEST  175 STREET,WEST  174 STREET,WEST  175 STREET,ADDRESS,BRONX,UNDERCLIFF AVENUE,,In Progress,,,04/07/2025 01:51:58 AM,05 BRONX,,BRONX,1005540,248145,MOBILE,Unspecified,BRONX,,,,,,,,40.84775009737186,-73.92304808288819,"(40.84775009737186, -73.92304808288819)"
64571387,04/07/2025 01:18:49 AM,,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10473,731 ZEREGA AVENUE,ZEREGA AVENUE,HOMER AVENUE,LAFAYETTE AVENUE,HOMER AVENUE,LAFAYETTE AVENUE,ADDRESS,BRONX,ZEREGA AVENUE,,In Progress,,,04/07/2025 02:13:45 AM,09 BRONX,,BRONX,1027805,239116,PHONE,Unspecified,BRONX,,,,,,,,40.822886385704635,-73.84263082227419,"(40.822886385704635, -73.84263082227419)"
64576339,04/07/2025 01:18:33 AM,,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10474,EAST BAY AVENUE,EAST BAY AVENUE,EAST BAY AVENUE,HALLECK STREET,EAST BAY AVENUE,HALLECK STREET,INTERSECTION,,,,In Progress,,,04/07/2025 01:52:35 AM,02 BRONX,,BRONX,1017387,234189,PHONE,Unspecified,BRONX,,,,,,,,40.809408390457705,-73.88029651562117,"(40.809408390457705, -73.88029651562117)"
64572050,04/07/2025 01:18:30 AM,04/07/2025 01:44:50 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10454,350 EAST  143 STREET,EAST  143 STREET,ALEXANDER AVENUE,WILLIS AVENUE,ALEXANDER AVENUE,WILLIS AVENUE,ADDRESS,BRONX,EAST  143 STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,04/07/2025 01:44:59 AM,01 BRONX,2023040001,BRONX,1005803,235447,MOBILE,Unspecified,BRONX,,,,,,,,40.812897103451725,-73.92213827515442,"(40.812897103451725, -73.92213827515442)"
64573459,04/07/2025 01:17:27 AM,,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11419,94-25 130 STREET,130 STREET,ATLANTIC AVENUE,95 AVENUE,ATLANTIC AVENUE,95 AVENUE,ADDRESS,SOUTH RICHMOND HILL,130 STREET,,In Progress,,,04/07/2025 02:26:18 AM,09 QUEENS,,QUEENS,1034519,192717,PHONE,Unspecified,QUEENS,,,,,,,,40.69549764903586,-73.81871937706961,"(40.69549764903586, -73.81871937706961)"
64572996,04/07/2025 01:16:45 AM,04/07/2025 01:21:22 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10452,1436 UNDERCLIFF AVENUE,UNDERCLIFF AVENUE,WEST  171 STREET,BOSCOBEL PLACE,WEST  171 STREET,BOSCOBEL PLACE,ADDRESS,BRONX,UNDERCLIFF AVENUE,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,04/07/2025 01:21:27 AM,04 BRONX,2025370006,BRONX,1004948,246855,MOBILE,Unspecified,BRONX,,,,,,,,40.84421083543331,-73.92519182584024,"(40.84421083543331, -73.92519182584024)"
64571064,04/07/2025 01:16:34 AM,04/07/2025 01:47:46 AM,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,11212,RIVERDALE AVENUE,RIVERDALE AVENUE,RIVERDALE AVENUE,STRAUSS STREET,RIVERDALE AVENUE,STRAUSS STREET,INTERSECTION,,,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,04/07/2025 01:47:54 AM,16 BROOKLYN,,BROOKLYN,1008074,179810,ONLINE,Unspecified,BROOKLYN,Other,,,,,,,40.660181572228915,-73.9141311600157,"(40.660181572228915, -73.9141311600157)"
64573496,04/07/2025 01:16:25 AM,04/07/2025 01:39:50 AM,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11374,64-40 BOOTH STREET,BOOTH STREET,64 ROAD,65 ROAD,64 ROAD,65 ROAD,ADDRESS,REGO PARK,BOOTH STREET,,Closed,,Your request can not be processed at this time because of insufficient contact information. Please create a new Service Request on NYC.gov and provide more detailed contact information.,04/07/2025 01:39:58 AM,06 QUEENS,4030970110,QUEENS,1022822,204451,ONLINE,Unspecified,QUEENS,,,,,,,,40.72776335888282,-73.86083391953825,"(40.72776335888282, -73.86083391953825)"
64571348,04/07/2025 01:16:11 AM,,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11205,14 AUBURN PLACE,AUBURN PLACE,ST EDWARDS STREET,NORTH ELLIOTT PLACE,ST EDWARDS STREET,NORTH ELLIOTT PLACE,ADDRESS,BROOKLYN,AUBURN PLACE,,In Progress,,,04/07/2025 01:52:19 AM,02 BROOKLYN,3020400001,BROOKLYN,990600,192236,PHONE,Unspecified,BROOKLYN,,,,,,,,40.694317907496355,-73.97710098115013,"(40.694317907496355, -73.97710098115013)"
64577418,04/07/2025 01:15:50 AM,,NYPD,New York City Police Department,Illegal Parking,Parking Permit Improper Use,Street/Sidewalk,11208,145 GLEN STREET,GLEN STREET,CRESCENT STREET,AUTUMN AVENUE,CRESCENT STREET,AUTUMN AVENUE,ADDRESS,BROOKLYN,GLEN STREET,,In Progress,,,04/07/2025 02:34:55 AM,05 BROOKLYN,3041670045,BROOKLYN,1020191,187424,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.68103938310234,-73.87041731487056,"(40.68103938310234, -73.87041731487056)"
64572991,04/07/2025 01:15:25 AM,04/07/2025 01:36:46 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11368,55-25 98 STREET,98 STREET,55 AVENUE,57 AVENUE,55 AVENUE,57 AVENUE,ADDRESS,CORONA,98 STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,04/07/2025 01:36:53 AM,04 QUEENS,4019070001,QUEENS,1022283,208483,ONLINE,Unspecified,QUEENS,,,,,,,,40.738832527923456,-73.86275581250639,"(40.738832527923456, -73.86275581250639)"
64571111,04/07/2025 01:15:06 AM,,DHS,Department of Homeless Services,Homeless Person Assistance,Non-Chronic,Store/Commercial,10013,60 LAFAYETTE STREET,LAFAYETTE STREET,LEONARD STREET,FRANKLIN STREET,LEONARD STREET,FRANKLIN STREET,ADDRESS,NEW YORK,LAFAYETTE STREET,,Assigned,,The Department of Homeless Services has sent a mobile outreach response team to the location.,04/07/2025 01:20:25 AM,01 MANHATTAN,1001710031,MANHATTAN,983605,200302,PHONE,Unspecified,MANHATTAN,,,,,,,,40.716459431762694,-74.0023267359905,"(40.716459431762694, -74.0023267359905)"
64577916,04/07/2025 01:15:01 AM,04/07/2025 01:41:31 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10473,2275 RANDALL AVENUE,RANDALL AVENUE,CASTLE HILL AVENUE,HAVEMEYER AVENUE,CASTLE HILL AVENUE,HAVEMEYER AVENUE,ADDRESS,BRONX,RANDALL AVENUE,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,04/07/2025 01:41:38 AM,09 BRONX,2035730001,BRONX,1026931,237817,ONLINE,Unspecified,BRONX,,,,,,,,40.819325269482185,-73.84579693941627,"(40.819325269482185, -73.84579693941627)"
64572276,04/07/2025 01:14:44 AM,,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11369,22-45 95 STREET,95 STREET,DITMARS BOULEVARD,23 AVENUE,DITMARS BOULEVARD,23 AVENUE,ADDRESS,EAST ELMHURST,95 STREET,,In Progress,,,,03 QUEENS,4010720051,QUEENS,1018769,219613,ONLINE,Unspecified,QUEENS,,,,,,,,40.76939593361693,-73.8753791197256,"(40.76939593361693, -73.8753791197256)"
64573538,04/07/2025 01:14:35 AM,,NYPD,New York City Police Department,Illegal Parking,Parking Permit Improper Use,Street/Sidewalk,11208,145 GLEN STREET,GLEN STREET,CRESCENT STREET,AUTUMN AVENUE,CRESCENT STREET,AUTUMN AVENUE,ADDRESS,BROOKLYN,GLEN STREET,,In Progress,,,04/07/2025 02:35:10 AM,05 BROOKLYN,3041670045,BROOKLYN,1020191,187424,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.68103938310234,-73.87041731487056,"(40.68103938310234, -73.87041731487056)"
64572391,04/07/2025 01:14:20 AM,,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,10473,RANDALL AVENUE,RANDALL AVENUE,HAVEMEYER AVENUE,ZEREGA AVENUE,HAVEMEYER AVENUE,ZEREGA AVENUE,BLOCKFACE,,,,In Progress,,,04/07/2025 02:24:30 AM,Unspecified BRONX,,BRONX,,,PHONE,Unspecified,BRONX,SUV,,,,,,,,,
64573458,04/07/2025 01:14:19 AM,,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11215,643 5 AVENUE,5 AVENUE,18 STREET,19 STREET,18 STREET,19 STREET,ADDRESS,BROOKLYN,5 AVENUE,,In Progress,,,,07 BROOKLYN,3008790007,BROOKLYN,986510,180768,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.66284283302113,-73.99185395861754,"(40.66284283302113, -73.99185395861754)"
64575833,04/07/2025 01:14:17 AM,04/07/2025 01:43:19 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11368,127-11 WILLETS POINT BOULEVARD,WILLETS POINT BOULEVARD,127 STREET,34 AVENUE,127 STREET,34 AVENUE,ADDRESS,CORONA,WILLETS POINT BOULEVARD,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,04/07/2025 01:43:28 AM,07 QUEENS,4018320001,QUEENS,1028093,215713,ONLINE,Unspecified,QUEENS,,,,,,,,40.758650131211176,-73.84174301320034,"(40.758650131211176, -73.84174301320034)"
64573316,04/07/2025 01:14:16 AM,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11426,246-09 JERICHO TURNPIKE,JERICHO TURNPIKE,CITY LIMIT,247 STREET,CITY LIMIT,247 STREET,ADDRESS,BELLEROSE,JERICHO TURNPIKE,,In Progress,,,04/07/2025 01:57:29 AM,13 QUEENS,4086600006,QUEENS,1061390,203582,ONLINE,Unspecified,QUEENS,,,,,,,,40.725125916834905,-73.72169293448363,"(40.725125916834905, -73.72169293448363)"
64572403,04/07/2025 01:14:02 AM,,DOHMH,Department of Health and Mental Hygiene,Food Poisoning,1 or 2,Restaurant/Bar/Deli/Bakery,10002,227 CHERRY STREET,CHERRY STREET,PIKE SLIP,RUTGERS SLIP,PIKE SLIP,RUTGERS SLIP,ADDRESS,NEW YORK,CHERRY STREET,,In Progress,,,,03 MANHATTAN,1002487501,MANHATTAN,986777,198336,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.711062893490016,-73.99088498319651,"(40.711062893490016, -73.99088498319651)"
64571065,04/07/2025 01:13:28 AM,04/07/2025 01:16:44 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10452,1416 UNDERCLIFF AVENUE,UNDERCLIFF AVENUE,WEST  171 STREET,BOSCOBEL PLACE,WEST  171 STREET,BOSCOBEL PLACE,ADDRESS,BRONX,UNDERCLIFF AVENUE,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,04/07/2025 01:16:48 AM,04 BRONX,,BRONX,1004868,246731,MOBILE,Unspecified,BRONX,,,,,,,,40.843870679050376,-73.92548134860958,"(40.843870679050376, -73.92548134860958)"
64576332,04/07/2025 01:13:15 AM,,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11205,125 NORTH PORTLAND AVENUE,NORTH PORTLAND AVENUE,AUBURN PLACE,NORTH OXFORD WALK,AUBURN PLACE,NORTH OXFORD WALK,ADDRESS,BROOKLYN,NORTH PORTLAND AVENUE,,In Progress,,,04/07/2025 01:51:59 AM,02 BROOKLYN,3020410001,BROOKLYN,990897,192249,PHONE,Unspecified,BROOKLYN,,,,,,,,40.69435337139692,-73.97602994339809,"(40.69435337139692, -73.97602994339809)"
64576162,04/07/2025 01:13:15 AM,,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11233,510 CHAUNCEY STREET,CHAUNCEY STREET,ROCKAWAY AVENUE,BROADWAY,ROCKAWAY AVENUE,BROADWAY,ADDRESS,BROOKLYN,CHAUNCEY STREET,,In Progress,,Your complaint has been received by the Police Department and additional information will be available later.,04/07/2025 02:05:21 AM,16 BROOKLYN,3015170002,BROOKLYN,1008831,187933,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.68247530763852,-73.91137308498007,"(40.68247530763852, -73.91137308498007)"
64575371,04/07/2025 01:13:02 AM,,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,11233,862 MACON STREET,MACON STREET,SARATOGA AVENUE,THOMAS S BOYLAND STREET,SARATOGA AVENUE,THOMAS S BOYLAND STREET,ADDRESS,BROOKLYN,MACON STREET,,In Progress,,Your complaint has been received by the Police Department and additional information will be available later.,04/07/2025 01:55:50 AM,16 BROOKLYN,3014980022,BROOKLYN,1007458,188815,PHONE,Unspecified,BROOKLYN,,,,,,,,40.684899901787915,-73.91632040222342,"(40.684899901787915, -73.91632040222342)"
64570482,04/07/2025 01:12:15 AM,,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11215,258 18 STREET,18 STREET,5 AVENUE,6 AVENUE,5 AVENUE,6 AVENUE,ADDRESS,BROOKLYN,18 STREET,,In Progress,,,,07 BROOKLYN,3008790016,BROOKLYN,986790,180650,PHONE,Unspecified,BROOKLYN,,,,,,,,40.66251887321697,-73.99084475901225,"(40.66251887321697, -73.99084475901225)"
64576489,04/07/2025 01:11:45 AM,,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11214,2440 BENSON AVENUE,BENSON AVENUE,BAY   37 STREET,BAY   38 STREET,BAY   37 STREET,BAY   38 STREET,ADDRESS,BROOKLYN,BENSON AVENUE,,In Progress,,,,11 BROOKLYN,3068770049,BROOKLYN,987027,156722,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.59684149415318,-73.99000035562983,"(40.59684149415318, -73.99000035562983)"
64573834,04/07/2025 01:11:34 AM,04/07/2025 01:36:39 AM,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11213,400 HERKIMER STREET,HERKIMER STREET,KINGSTON AVENUE,ALBANY AVENUE,KINGSTON AVENUE,ALBANY AVENUE,ADDRESS,BROOKLYN,HERKIMER STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,04/07/2025 01:36:48 AM,03 BROOKLYN,3018710018,BROOKLYN,1000876,186700,PHONE,Unspecified,BROOKLYN,,,,,,,,40.67910952008634,-73.94005790714336,"(40.67910952008634, -73.94005790714336)"
64575018,04/07/2025 01:11:21 AM,04/07/2025 01:41:08 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10473,2275 RANDALL AVENUE,RANDALL AVENUE,CASTLE HILL AVENUE,HAVEMEYER AVENUE,CASTLE HILL AVENUE,HAVEMEYER AVENUE,ADDRESS,BRONX,RANDALL AVENUE,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,04/07/2025 01:41:13 AM,09 BRONX,2035730001,BRONX,1026931,237817,ONLINE,Unspecified,BRONX,,,,,,,,40.819325269482185,-73.84579693941627,"(40.819325269482185, -73.84579693941627)"
64573307,04/07/2025 01:10:45 AM,,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,11207,330 NEW LOTS AVENUE,NEW LOTS AVENUE,GEORGIA AVENUE,SHEFFIELD AVENUE,GEORGIA AVENUE,SHEFFIELD AVENUE,ADDRESS,BROOKLYN,NEW LOTS AVENUE,,In Progress,,,,05 BROOKLYN,3042970002,BROOKLYN,1013518,180188,PHONE,Unspecified,BROOKLYN,,,,,,,,40.66120277682455,-73.89450772800622,"(40.66120277682455, -73.89450772800622)"
64573991,04/07/2025 01:09:55 AM,04/07/2025 01:42:07 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11368,127-11 WILLETS POINT BOULEVARD,WILLETS POINT BOULEVARD,127 STREET,34 AVENUE,127 STREET,34 AVENUE,ADDRESS,CORONA,WILLETS POINT BOULEVARD,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,04/07/2025 01:42:14 AM,07 QUEENS,4018320001,QUEENS,1028093,215713,ONLINE,Unspecified,QUEENS,,,,,,,,40.758650131211176,-73.84174301320034,"(40.758650131211176, -73.84174301320034)"
64577139,04/07/2025 01:09:51 AM,,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10473,713 ZEREGA AVENUE,ZEREGA AVENUE,SEWARD AVENUE,HOMER AVENUE,SEWARD AVENUE,HOMER AVENUE,ADDRESS,BRONX,ZEREGA AVENUE,,In Progress,,,04/07/2025 02:24:53 AM,09 BRONX,,BRONX,1027845,238893,ONLINE,Unspecified,BRONX,,,,,,,,40.822274117499056,-73.8424877468332,"(40.822274117499056, -73.8424877468332)"
64572074,04/07/2025 01:09:51 AM,04/07/2025 01:22:49 AM,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,10040,108 ELLWOOD STREET,ELLWOOD STREET,WEST  196 STREET,SHERMAN AVENUE,WEST  196 STREET,SHERMAN AVENUE,ADDRESS,NEW YORK,ELLWOOD STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,04/07/2025 01:22:53 AM,12 MANHATTAN,1021720039,MANHATTAN,1003754,253291,PHONE,Unspecified,MANHATTAN,SUV,,,,,,,40.86187845400225,-73.92948853877418,"(40.86187845400225, -73.92948853877418)"
64575010,04/07/2025 01:09:46 AM,04/07/2025 01:43:50 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11368,127-18 34 AVENUE,34 AVENUE,127 STREET,127 PLACE,127 STREET,127 PLACE,ADDRESS,CORONA,34 AVENUE,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,04/07/2025 01:43:58 AM,07 QUEENS,4018300010,QUEENS,1027899,216436,MOBILE,Unspecified,QUEENS,,,,,,,,40.760635537673146,-73.84243858563009,"(40.760635537673146, -73.84243858563009)"
64577264,04/07/2025 01:09:38 AM,,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11385,341 ST NICHOLAS AVENUE,ST NICHOLAS AVENUE,PALMETTO STREET,WOODBINE STREET,PALMETTO STREET,WOODBINE STREET,ADDRESS,RIDGEWOOD,ST NICHOLAS AVENUE,,In Progress,,,04/07/2025 02:25:58 AM,05 QUEENS,4034490006,QUEENS,1009255,194517,ONLINE,Unspecified,QUEENS,,,,,,,,40.700545671364274,-73.90981991340574,"(40.700545671364274, -73.90981991340574)"
64573903,04/07/2025 01:08:23 AM,04/07/2025 01:24:43 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10025,951 AMSTERDAM AVENUE,AMSTERDAM AVENUE,WEST  106 STREET,WEST  107 STREET,WEST  106 STREET,WEST  107 STREET,ADDRESS,NEW YORK,AMSTERDAM AVENUE,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,04/07/2025 01:24:48 AM,07 MANHATTAN,1018610063,MANHATTAN,993839,231064,PHONE,Unspecified,MANHATTAN,,,,,,,,40.800888066586644,-73.96536531783022,"(40.800888066586644, -73.96536531783022)"
64570647,04/07/2025 01:08:16 AM,,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11214,2444 BENSON AVENUE,BENSON AVENUE,BAY   37 STREET,BAY   38 STREET,BAY   37 STREET,BAY   38 STREET,ADDRESS,BROOKLYN,BENSON AVENUE,,In Progress,,,,11 BROOKLYN,3068770051,BROOKLYN,987052,156702,PHONE,Unspecified,BROOKLYN,,,,,,,,40.59678659032043,-73.9899103419203,"(40.59678659032043, -73.9899103419203)"
64572268,04/07/2025 01:07:43 AM,,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11218,602 CORTELYOU ROAD,CORTELYOU ROAD,OCEAN PARKWAY,EAST    7 STREET,OCEAN PARKWAY,EAST    7 STREET,ADDRESS,BROOKLYN,CORTELYOU ROAD,,In Progress,,,,12 BROOKLYN,3053900001,BROOKLYN,991817,171924,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.63856503133277,-73.97273510197043,"(40.63856503133277, -73.97273510197043)"
64575011,04/07/2025 01:07:33 AM,04/07/2025 01:11:03 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10452,1416 UNDERCLIFF AVENUE,UNDERCLIFF AVENUE,WEST  171 STREET,BOSCOBEL PLACE,WEST  171 STREET,BOSCOBEL PLACE,ADDRESS,BRONX,UNDERCLIFF AVENUE,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,04/07/2025 01:11:08 AM,04 BRONX,,BRONX,1004868,246731,MOBILE,Unspecified,BRONX,,,,,,,,40.843870679050376,-73.92548134860958,"(40.843870679050376, -73.92548134860958)"
